Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Cincinnati ,2016,DEF,CIN,999.00,0.00,0.00
Cleveland ,2016,DEF,CLE,999.00,0.00,0.00
Dallas ,2016,DEF,DAL,999.00,0.00,0.00
Dan Bailey,2016,K,DAL,149.49,0.00,0.00
Dan Carpenter,2016,K,BUF,999.00,0.00,0.00
Daniel Braverman,2016,WR,CHI,999.00,0.00,0.00
Denver ,2016,DEF,DEN,999.00,0.00,0.00
Detroit ,2016,DEF,DET,999.00,0.00,0.00
Duke Johnson,2016,RB,CLE,85.54,0.00,0.00
dummy pick,2016,RB,ARI,999.00,0.00,0.00
Dustin Hopkins,2016,K,WAS,999.00,0.00,0.00
Graham Gano,2016,K,CAR,143.12,0.00,0.00
Green Bay ,2016,DEF,GB,999.00,0.00,0.00
Greg Zuerlein,2016,K,LAR,999.00,0.00,0.00
Houston ,2016,DEF,HOU,999.00,0.00,0.00
Indianapolis ,2016,DEF,IND,999.00,0.00,0.00
Jacksonville ,2016,DEF,JAX,999.00,0.00,0.00
Jason Myers,2016,K,JAX,999.00,0.00,0.00
Josh Brown,2016,K,NYG,163.04,0.00,0.00
Josh Lambo,2016,K,SD,999.00,0.00,0.00
Justin Tucker,2016,K,BAL,134.06,0.00,0.00
Kai Forbath,2016,K,NO,999.00,0.00,0.00
Kansas City ,2016,DEF,KC,999.00,0.00,0.00
Los Angeles,2016,DEF,LAR,999.00,0.00,0.00
Marvin Jones,2016,WR,DET,102.32,0.00,0.00
Mason Crosby,2016,K,GB,131.45,0.00,0.00
Matt Bryant,2016,K,ATL,172.65,0.00,0.00
Matt Prater,2016,K,DET,172.65,0.00,0.00
Miami ,2016,DEF,MIA,999.00,0.00,0.00
Mike Nugent,2016,K,CIN,174.41,0.00,0.00
Minnesota ,2016,DEF,MIN,999.00,0.00,0.00
New England ,2016,DEF,NE,999.00,0.00,0.00
New Orleans ,2016,DEF,NO,999.00,0.00,0.00
New York,2016,DEF,NYG,999.00,0.00,0.00
New York,2016,DEF,NYJ,999.00,0.00,0.00
Nick Folk,2016,K,NYJ,999.00,0.00,0.00
Nick Novak,2016,K,HOU,172.51,0.00,0.00
Oakland ,2016,DEF,OAK,999.00,0.00,0.00
Phil Dawson,2016,K,SF,999.00,0.00,0.00
Philadelphia ,2016,DEF,PHI,999.00,0.00,0.00
Pittsburgh ,2016,DEF,PIT,999.00,0.00,0.00
Robbie Gould,2016,K,CHI,170.71,0.00,0.00
Roberto Aguayo,2016,K,TB,168.02,0.00,0.00
Ryan Succop,2016,K,TEN,999.00,0.00,0.00
San Diego ,2016,DEF,SD,999.00,0.00,0.00
San Francisco,2016,DEF,SF,999.00,0.00,0.00
Seattle ,2016,DEF,SEA,999.00,0.00,0.00
Sebastian Janikowski,2016,K,OAK,166.79,0.00,0.00
Stephen Gostkowski,2016,K,NE,100.74,0.00,0.00
Steve Smith,2016,WR,BAL,139.74,0.00,0.00
Steven Hauschka,2016,K,SEA,137.79,0.00,0.00
Tampa Bay ,2016,DEF,TB,999.00,0.00,0.00
Tennessee ,2016,DEF,TEN,999.00,0.00,0.00
Terrelle Pryor,2016,WR,CLE,159.30,0.00,0.00
Travis Coons,2016,K,CLE,999.00,0.00,0.00
Washington ,2016,DEF,WAS,999.00,0.00,0.00
